ticker,last_close,ret_1m,ret_3m,ret_6m,ret_12m,momentum_z,vol_12m,maxdd_12m,from_high,quality_z,composite
CME,275.5400085449219,0.05593120614147673,0.05589094948609952,-0.1057912106642348,0.10128305419872241,-0.23516418758647994,0.28219244125396525,-0.3108934680698645,-0.12724051391042457,0.39203112252800265,0.0157139364593131
CRWD,206.7400054931641,-0.06781492185460669,0.19584108706527492,0.8728994110813904,0.9463836737742908,0.25707525928800756,0.6437618266123263,-0.3717827173511796,-0.10502162124171388,-0.3830250277961781,0.001035144454333281
ACN,183.8999938964844,0.020872624178836396,0.11097918898805914,-0.0426445670196145,-0.22796456011499222,-0.31190648357151884,0.6158971499176857,-0.5842054708345442,-0.3781417795485166,0.38188864961061886,-0.03438843029866376
ABBV,257.1199951171875,0.033606692374009484,0.1520671705129717,0.1585323822027056,0.2525826417868,-0.00865693936126246,0.2895512338680866,-0.17315232572100092,-0.033274452242348374,-0.07514688445617823,-0.03525291739922877
PFE,27.71999931335449,0.053591785482068,0.07775810200540323,0.06740512362814499,0.20732862544887687,-0.10617314253358702,0.22075870916998522,-0.1572429309198754,-0.044796730665157436,0.05827001490621242,-0.04039587955766724
JPM,356.2300109863281,-0.02450841193098785,0.14145526306448297,0.27139907164448673,0.20797549059682963,-0.14997779688254836,0.20028100464273368,-0.154717373788531,-0.02450841193098785,0.10516348549507737,-0.04792128393149806
SLB,56.060001373291016,0.07110585657387358,0.006265694449855808,0.2712371874294186,0.5882336984362551,0.03293954555656868,0.40082262682851555,-0.22272018675245275,-0.06238135648965848,-0.2135339240067018,-0.06564984226873952
NFLX,77.4000015258789,0.04298615389787419,-0.04761898950463006,-0.1793022634976622,-0.37966354989319107,-0.5661633310894966,0.3791404489599331,-0.4752693751604904,-0.3991989337277647,0.6650747584753666,-0.07366809526355128
ADBE,252.22999572753903,-0.025198084144776645,0.15278789858093944,-0.06505301775953842,-0.2796721696092651,-0.4103952236479679,0.49349396674367324,-0.4940089770734932,-0.3401266163362938,0.4182659045142313,-0.07893077238308818
PANW,330.6499938964844,-0.14562934923381565,0.1828783863643535,0.9667499613356869,0.6756194741211852,-0.008325557926490867,0.562160873819146,-0.3600596483682511,-0.16502526793817074,-0.2015492925314222,-0.0856150517684634
JNJ,265.5799865722656,0.023115224957144465,0.1198330517405779,0.10900970146538591,0.5448264660276727,-0.034782159100414003,0.2547164289435201,-0.109591224616155,-0.04615165909399299,-0.1878663093900103,-0.09601581921625253
MS,214.3800048828125,-0.014978838981705045,0.01363730121963802,0.40389033362061433,0.42252716115495415,-0.18486128490820183,0.27964957581224126,-0.18830207649322972,-0.05683610502587466,0.0006999747039974635,-0.11063678106332211
UNH,379.0899963378906,-0.06533691718057877,-0.05990588630965099,0.37612401180571053,0.12244861815351094,-0.5174748878604517,0.23681693118461852,-0.28960656735675405,-0.13122495465725093,0.44497728193669733,-0.1324940199415921
ANET,199.58999633789065,-0.051828996019521845,0.2761509215274791,0.48914420768256095,0.3242435955505729,0.08507389267905491,0.5665520685882482,-0.28328088546368435,-0.051828996019521845,-0.4627389797449182,-0.13405125629053435
KO,88.29000091552734,0.01822167971095756,0.07669971473709469,0.1528285891323362,0.33869725480433543,-0.1383617133621547,0.21691101867402746,-0.07867633306629684,-0.04022173099429349,-0.1865593251268225,-0.1576407580680218
PLTR,167.22999572753906,-0.0222754777136831,0.2757857292607997,0.08944622623803955,0.002938648304141367,-0.0926312674659293,0.7540279181016906,-0.4822376656276136,-0.19282748508810155,-0.3209479612894839,-0.18395794499535112
GS,1029.1800537109375,-0.002882177369692096,-0.0013705470841139933,0.31905039494648735,0.3636299381800525,-0.22402768887635205,0.3477784641032739,-0.1942219429676295,-0.10229360631021234,-0.16337703851153654,-0.19976742873042586
TSLA,365.4400024414063,0.11581323179381608,-0.08445444562331728,-0.07485888102370808,0.05074899641403774,-0.2533448189417257,0.572306292097674,-0.39103453018952694,-0.2540213954459609,-0.12824068974616076,-0.20330316726349973
APD,291.42999267578125,-0.0415694226460156,0.05436630171467405,0.015832259216106648,0.040683703829471396,-0.47759917178244393,0.2650915329267675,-0.2239070780554301,-0.07244027368397743,0.15551308703478584,-0.22435426825555205
ORCL,150.27999877929688,-0.019572025208061228,-0.18086466590963968,-0.04919886043846666,-0.5370729425921095,-0.9085789477232167,0.5558765072952213,-0.6457813296858512,-0.5370729425921095,0.7433739078685808,-0.24779780548649766
NVDA,218.2899932861328,-0.024792449282857842,0.06669722286781954,0.19465413088102435,0.23400050495688407,-0.28262626458840134,0.39975423520461056,-0.20214390449746988,-0.07190572811190499,-0.2774904553001991,-0.28057194087312043
CAT,818.5700073242188,-0.043279534032664824,-0.0863846668743935,0.1726295554265016,0.9529887397115131,-0.3812422032616055,0.42569429457059094,-0.26696840244074427,-0.2298915487645834,-0.13673575274444721,-0.2834396230547422
PEP,136.32000732421875,-0.0066597255609553985,-0.041422861082802576,-0.12359409034314728,-0.005722466708349638,-0.5840899038863406,0.22657389956749743,-0.19298392525350316,-0.17608239002718484,0.1587095146933175,-0.2869701364544774
GOOGL,338.5,-0.014037473084176466,-0.0532532095764755,0.11652095415506647,0.4189919805997191,-0.40739604277034464,0.3615768731081901,-0.21047200943300937,-0.15821396043791514,-0.14772273284588813,-0.30352671880056203
LIN,466.2200012207031,-0.024351089345294397,-0.0925125783361549,-0.04317917031127272,-0.00032888100691241817,-0.6670897269366783,0.20960773605070532,-0.19184832676642194,-0.14430829440447157,0.20066953032766882,-0.31998602403093945
AMZN,256.7799987792969,-0.03928464549519184,0.06322721468998549,0.22550470231124087,0.11483522223754017,-0.3441225948187025,0.4233776383948854,-0.2173622311569574,-0.09590870814752317,-0.2916218981785168,-0.3231223161626282
LLY,1115.699951171875,-0.08439156380888835,-0.037599560193002035,0.14527709565852187,0.4878171503880042,-0.5590011169157235,0.32767381565855436,-0.2318226469461353,-0.12859085793120018,0.012841500105054554,-0.33026407010741227
NKE,36.79999923706055,-0.08194578522388307,-0.19080996433973652,-0.3067956225700855,-0.4880354972847606,-1.2090951617105088,0.3184712672631446,-0.5201411287137938,-0.5177824518762143,0.9740505542050036,-0.33583687534430373
CSCO,112.12999725341795,-0.09484985680104063,-0.0761760632528018,0.4556128352518689,0.6799033327964963,-0.4524158137544584,0.3461354592054616,-0.17044668268235585,-0.13423483731657926,-0.23617771796520262,-0.36592057543875606
COST,904.77001953125,-0.047189280262996625,-0.07121262976471221,-0.09547957378216132,-0.04835452904862303,-0.7395642691914486,0.20182334704763769,-0.17408553926796222,-0.17189804879961756,0.16392090181261415,-0.37817020078982344
HD,308.739990234375,-0.09438554940113364,-0.04599498253013712,-0.07547866232710565,-0.23170358291544602,-0.8767138843003435,0.2740464151951918,-0.28809189674142033,-0.2501933847123613,0.33988969190881935,-0.3900724538166783
GE,323.6600036621094,-0.11406121709615957,-0.026134621573959627,0.05661377200587325,0.14782006860497265,-0.7527415244813978,0.2914755783603318,-0.20851491484155849,-0.1509889233888072,0.034532103887733756,-0.4378320731337451
BA,210.4499969482422,-0.08974913613275359,-0.05044446910733846,0.027788643260665102,-0.07502640209067923,-0.7836319636376821,0.32863922578028243,-0.24961328061128596,-0.16537774323865895,0.06802741246361893,-0.4429682131971617
WMT,107.1500015258789,-0.07416153114567159,-0.10865959379822432,-0.13961271080747994,0.07610947344031005,-0.8589202175837758,0.2891642145218359,-0.23341506413434543,-0.19965332509072908,0.12162583451879513,-0.46670179674274737
ISRG,369.1499938964844,-0.08004584443541107,-0.10595786061205004,-0.22976609769331113,-0.17963023938034361,-0.9761453760269805,0.4870505716346661,-0.4399595130529892,-0.3773298320006869,0.2600513079120757,-0.48166670245135795
FSLR,209.02999877929688,-0.07822906539195396,-0.22915518520264977,0.05805831829543995,0.025712771312607074,-0.95763517971407,0.4544845525738188,-0.37395127889029356,-0.3431893204106933,0.13327938004945095,-0.5212693558086616
AVGO,361.989990234375,-0.12993630367679443,-0.059670330550189776,0.0814163261510521,-0.013333572894457357,-0.8726185838645477,0.42608064600250184,-0.28665993697753134,-0.24712317895271207,-0.07381778645972337,-0.5530982649026179
