rank,date,ticker,last_price,ret_1m,ret_3m,ret_6m,ret_12m,vol_ann,max_drawdown,from_52w_high,momentum_score,quality_score,composite_score
33,2026-09-11,GS,1029.1800537109375,-0.002882177369692096,-0.0013705470841139933,0.31905039494648735,0.11449018703867764,0.3344458724470174,-0.14870620629147258,-0.10229360631021234,0.7908163265306123,0.5969387755102041,0.713265306122449
34,2026-09-11,U,43.959999084472656,-0.012800352805965587,0.6458255556447381,1.2624806172937912,1.1387202821985127,0.5660062158576576,-0.1771836860436381,-0.11138067516207262,0.9540816326530612,0.3520408163265306,0.713265306122449
35,2026-09-11,CSCO,112.12999725341797,-0.09484985680104063,-0.07617606325280168,0.45561283525186913,0.3386911920356517,0.38772317278607654,-0.17044668268235574,-0.13423483731657915,0.8673469387755102,0.4744897959183674,0.710204081632653
36,2026-09-11,MRK,143.92999267578125,0.08283173832760582,0.20043908961509538,0.2599322254858354,0.15276158679877594,0.32370927310663516,-0.11365485575233658,-0.08002559614368598,0.7704081632653061,0.6173469387755102,0.7091836734693877
37,2026-09-11,SLB,56.060001373291016,0.07110585657387358,0.006265694449855808,0.27123707746299175,0.014991353327585832,0.37288157887591117,-0.22272018675245275,-0.06238135648965848,0.7806122448979592,0.6020408163265306,0.7091836734693877
38,2026-09-11,PFE,27.719999313354492,0.053591785482068,0.07775810200540367,0.06740512362814521,-0.00039832057969979573,0.2074152296044339,-0.15724287268696713,-0.044796730665157214,0.5306122448979592,0.9744897959183674,0.7081632653061225
39,2026-09-11,UNP,284.3999938964844,-0.027270644440234526,0.06500600944574941,0.1765843129607898,0.14493912245187368,0.2453622257584794,-0.0801629195627841,-0.0801629195627841,0.6326530612244898,0.8214285714285714,0.7081632653061225
40,2026-09-11,PANW,330.6499938964844,-0.14562934923381565,0.1828783863643535,0.9667499613356869,1.3956442388933694,0.5486405505628739,-0.1705050227617977,-0.16502526793817074,0.9438775510204082,0.33163265306122447,0.6989795918367347
41,2026-09-11,XOM,165.99000549316406,0.04578917885284017,0.13959620640266968,0.09554330063014538,0.03336936057876261,0.28277421798691366,-0.2011225721014881,-0.01907755794489918,0.5612244897959183,0.8826530612244898,0.689795918367347
42,2026-09-11,CRWD,206.74000549316406,-0.0678149218546068,0.1958410870652747,0.8728994110813904,1.169548592900452,0.6181375806026147,-0.1780250703400884,-0.10502162124171399,0.9336734693877551,0.32142857142857145,0.6887755102040816
43,2026-09-11,DE,675.739990234375,0.09030764467351404,0.19142423491086147,0.15984673834996288,0.005015544672565264,0.3375988646634185,-0.14381883757184777,-0.03240403373718137,0.6836734693877551,0.6938775510204082,0.6877551020408164
44,2026-09-11,ANET,199.58999633789062,-0.051828996019521956,0.2761509215274789,0.4891442076825607,0.44760407945331315,0.5861392846128096,-0.2323749735248456,-0.051828996019521956,0.8877551020408163,0.3877551020408163,0.6877551020408162
45,2026-09-11,CVS,94.66000366210938,-0.0006334201628012126,-0.052089600484556575,0.263073903500735,0.2518433993353546,0.3019140877307278,-0.15483598392156017,-0.1388242460385547,0.7551020408163265,0.5816326530612245,0.6857142857142857
